x_um,depth_um,optical_generation_cm^-3_s^-1
-55.0,51.5,40102642.60054832
-55.0,51.7,9258432.982330894
-55.0,51.9,5538414.41553635
-55.0,52.1,9353387.78836847
-55.0,52.3,4341071.267601861
-55.0,52.5,11762064.645412963
-55.0,52.7,10984287.491113922
-55.0,52.9,7160188.199671359
-55.0,53.1,4604139.0701904725
-55.0,53.3,4156855.927056367
-55.0,53.5,5046369.018722102
-55.0,53.7,10176568.273274835
-55.0,53.9,8899580.744740123
-55.0,54.1,9852485.031381696
-55.0,54.3,7430420.979681391
-55.0,54.5,1834950.7176260375
-55.0,54.7,7085031.3575613955
-55.0,54.9,10701836.53907999
-55.0,55.1,22689220.869192917
-55.0,55.3,14217577.82854906
-55.0,59.9,21810568.374881756
-55.0,60.1,32059880.024187762
-55.0,60.3,36463324.30576347
-55.0,60.5,24477825.4960246
-55.0,60.7,22252157.24648621
-55.0,60.9,16544309.970136978
-55.0,62.5,3568498.149535221
-55.0,62.7,34217292.43618525
-55.0,62.9,6775806.016215838
-55.0,63.1,34834611.80665193
-55.0,63.3,2399739.4904714553
-55.0,63.5,2080030.6558461331
-55.0,63.7,948039.6440765036
-55.0,63.9,1158388.2970064455
-55.0,64.1,2922971.3942726282
-55.0,64.3,1068599.81679379
-55.0,64.5,2206586.783352925
-55.0,64.7,1647643.123667088
-55.0,64.9,27077203.883701347
-55.0,65.1,2201495.8783429675
-55.0,65.3,3472412.031273211
-45.0,0.1,50973233.21310653
-45.0,0.3,69794912.40143856
-45.0,0.5,80798620.7524053
-45.0,0.7,45570123.7396126
-45.0,0.9,86635399.91193263
-45.0,1.1,121290434.75815925
-45.0,1.3,68091797.2683667
-45.0,1.5,123540426.22052298
-45.0,1.7,80614820.22634211
-45.0,1.9,71368907.09929495
-45.0,2.1,74284223.2808489
-45.0,2.3,127950432.11300042
-45.0,2.5,155788341.64953408
-45.0,2.7,152475848.14326626
-45.0,2.9,91730905.5916027
-45.0,3.1,118209984.70224527
-45.0,3.3,83815264.79886113
-45.0,3.5,121287229.37352335
-45.0,3.7,68753780.84545407
-45.0,3.9,120448436.77991977
-45.0,4.1,69106320.3608325
-45.0,4.3,70635477.38419375
-45.0,4.5,75598657.24401243
-45.0,4.7,76105371.98933683
-45.0,4.9,92355842.46438058
-45.0,5.1,67461166.12405917
-45.0,5.3,78455974.81886034
-45.0,5.5,102982786.13420297
-45.0,5.7,93814103.92167725
-45.0,5.9,60577881.67548125
-45.0,6.1,68062307.72971642
-45.0,6.3,156355532.57533607
-45.0,6.5,108386046.44932681
-45.0,6.7,80763851.75670767
-45.0,6.9,103525589.73948686
-45.0,7.1,114036230.7415966
-45.0,7.3,151684683.79431143
-45.0,7.5,118905100.64334558
-45.0,7.7,103899639.27129254
-45.0,7.9,165093939.03850168
-45.0,8.1,158079878.66781986
-45.0,8.3,149675209.3108625
-45.0,8.5,64797416.07081206
-45.0,8.7,158728987.91179314
-45.0,8.9,153022083.39563096
-45.0,9.1,122682175.05665915
-45.0,9.3,100457998.93252397
-45.0,9.5,95172432.79914883
-45.0,9.7,146672631.24639717
-45.0,9.9,164238214.4719391
-45.0,10.1,107237462.85826547
-45.0,10.3,122718226.20621113
-45.0,10.5,250809318.13911632
-45.0,10.7,140792485.1182665
-45.0,10.9,169039918.36692336
-45.0,11.1,122700728.57713987
-45.0,11.3,199020861.33708194
-45.0,11.5,239881068.31351942
-45.0,11.7,217595748.53469425
-45.0,11.9,183573841.26175046
-45.0,12.1,219200454.5884033
-45.0,12.3,189242892.07088304
-45.0,12.5,108468481.40008064
-45.0,12.7,81466396.6480818
-45.0,12.9,78611854.55922447
-45.0,13.1,79021366.95822544
-45.0,13.3,89713662.76421271
-45.0,13.5,90604307.16810288
-45.0,13.7,144160099.92714956
-45.0,13.9,253803562.2035283
-45.0,14.1,309409518.975696
-45.0,14.3,128184387.48101357
-45.0,14.5,181917833.96970406
-45.0,14.7,246555923.56890815
-45.0,14.9,193143317.22706747
-45.0,15.1,154309516.70703793
-45.0,15.3,180816803.20247638
-45.0,15.5,148980244.2113921
-45.0,15.7,91626447.76287985
-45.0,15.9,106144992.35353611
-45.0,16.1,218711350.60337257
-45.0,16.3,197935254.12651414
-45.0,16.5,104463937.80884072
-45.0,16.7,97137220.44973251
-45.0,16.9,148629160.3177425
-45.0,17.1,78490592.97292805
-45.0,17.3,85559559.69690245
-45.0,17.5,59984399.05358342
-45.0,17.7,56558144.56106715
-45.0,17.9,109823001.52639663
-45.0,18.1,225876101.76234916
-45.0,18.3,215710997.45294857
-45.0,18.5,110746529.40561038
-45.0,18.7,70537279.48311281
-45.0,18.9,132029076.65494084
-45.0,19.1,137224250.94158363
-45.0,19.3,159584938.74080065
-45.0,19.5,79206336.50692056
-45.0,19.7,104802087.03272432
-45.0,19.9,270987817.7886207
-45.0,20.1,110997643.00902745
-45.0,20.3,163141935.2160541
-45.0,20.5,245355073.35307792
-45.0,20.7,117480816.26318945
-45.0,20.9,101741887.46562771
-45.0,21.1,115490988.90203826
-45.0,21.3,183078937.41604912
-45.0,21.5,93077996.76764488
-45.0,21.7,186789452.96015844
-45.0,21.9,145401979.06631932
-45.0,22.1,66624523.02368202
-45.0,22.3,71921326.85848655
-45.0,22.5,168932443.70560205
-45.0,22.7,190914066.48881838
-45.0,22.9,213523959.74483392
-45.0,23.1,207921611.10445398
-45.0,23.3,125842118.65154344
-45.0,23.5,125236414.08658095
-45.0,23.7,129193631.116432
-45.0,23.9,84293357.34490736
-45.0,24.1,132870109.24674882
-45.0,24.3,143879157.39141488
-45.0,24.5,118621028.14378996
-45.0,24.7,133084817.22278358
-45.0,24.9,89978766.92880529
-45.0,25.1,99801159.05501701
-45.0,25.3,78565372.71096319
-45.0,25.5,96020502.15299276
-45.0,25.7,77913208.92398392
-45.0,25.9,159385790.0788926
-45.0,26.1,76547779.17678364
-45.0,26.3,83579273.068844
-45.0,26.5,148426089.7734564
-45.0,26.7,113246616.29038921
-45.0,26.9,127633099.03404643
-45.0,27.1,195336969.34065437
-45.0,27.3,108942652.06374882
-45.0,27.5,139553660.5221027
-45.0,27.7,164967496.0422173
-45.0,27.9,165950191.550769
-45.0,28.1,116059247.03237195
-45.0,28.3,122499958.36771017
-45.0,28.5,93385298.8782089
-45.0,28.7,67908713.24004562
-45.0,28.9,147926653.13677585
-45.0,29.1,159996283.86560518
-45.0,29.3,198370130.54558694
-45.0,29.5,220153735.9791197
-45.0,29.7,212494299.69480515
-45.0,29.9,127093915.6278807
-45.0,30.1,137637707.84920713
-45.0,30.3,91582590.55897926
-45.0,30.5,136506056.23110485
-45.0,30.7,214000151.68634304
-45.0,30.9,142153529.14507675
-45.0,31.1,176647729.10339618
-45.0,31.3,184450276.38410172
-45.0,31.5,93026899.16550791
-45.0,31.7,91192136.99991927
-45.0,31.9,116797126.57555592
-45.0,32.1,51715939.68844807
-45.0,32.3,64379584.75592076
-45.0,32.5,72337423.49463373
-45.0,32.7,60797887.96376711
