depth_um,-85.000000,-55.000000,-45.000000,-35.000000,-25.000000,-15.000000,-5.000000,5.000000,15.000000,25.000000,35.000000,45.000000,55.000000,75.000000,85.000000,105.000000
2.3,0.0,0.0,0.0,0.0,0.0,1626246438.7464387,169469836182.33618,170311360398.86038,1885078347.5783474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,1995156695.1566951,170746759259.25925,174612108262.10825,2288746438.7464385,0.0,0.0,118198.00569800568,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0,0.0,1811538461.5384614,175960790598.2906,178848539886.0399,2029665242.1652422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9,0.0,0.0,0.0,0.0,0.0,2184829059.8290596,180250213675.21368,178894444444.44443,1999358974.3589742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0,0.0,2447934472.934473,180643233618.2336,181821367521.36752,2199679487.179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0,0.0,0.0,1887434472.9344728,182173254985.75497,185755270655.27066,2349002849.002849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,1925038817.6638176,183723717948.71796,185224216524.21652,2083857905.982906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7,0.0,0.0,0.0,0.0,0.0,1754059829.059829,185128774928.77493,187320227920.2279,2044123931.6239316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9,0.0,0.0,0.0,0.0,0.0,2246153846.1538463,185752421652.42166,189162250712.2507,2025641025.6410255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1,0.0,0.0,0.0,0.0,0.0,2071843660.9686608,190166488603.9886,188039601139.60114,2159722222.2222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3,0.0,0.0,0.0,0.0,0.0,1945176638.1766381,186297044159.54416,187884615384.6154,2191809116.809117,0.0,0.0,0.0,0.0,0.0,17415954.415954415,0.0
4.5,0.0,0.0,0.0,0.0,0.0,2135347222.222222,184852279202.2792,184528205128.20514,1875427350.4273503,0.0,0.0,0.0,0.0,0.0,11252492.877492877,0.0
