# Geant4 3D energy deposition grid (sparse, non-zero cells only)
# NEvents: 100000
# xy_bin_mm: 0.01  z_bin_um: 0.2
x_mm,y_mm,depth_um,edep_eV
0.0350,-0.0450,8.300,2.4806e+03
0.0050,-0.0150,56.300,5.6692e+02
0.0350,-0.0450,8.500,4.3300e+03
0.0050,-0.0150,56.500,6.2283e+03
0.0350,-0.0450,8.700,1.4249e+04
0.0050,-0.0150,56.700,6.5616e+03
0.0350,-0.0450,8.900,1.7693e+03
0.0350,-0.0450,9.100,2.4271e+02
0.0350,-0.0450,9.300,2.8721e+02
0.0350,-0.0450,9.500,1.1219e+03
0.0350,-0.0450,9.700,3.0344e+03
0.0150,-0.0350,41.500,1.7058e+02
0.0150,-0.0350,41.300,8.0210e+02
0.0150,-0.0350,41.100,1.4448e+02
0.0150,-0.0350,40.900,6.3439e+02
0.0250,-0.0450,7.900,3.8936e+03
-0.0150,0.0450,22.900,3.6186e+02
0.0250,-0.0550,19.300,6.1693e+03
0.0250,-0.0550,19.500,2.3893e+03
-0.0450,0.0150,32.100,3.5934e+03
-0.0450,0.0150,31.900,9.5362e+03
-0.0450,0.0150,31.700,1.5426e+03
-0.0450,0.0150,31.500,9.8256e+02
-0.0450,0.0150,29.900,5.2376e+02
-0.0450,0.0150,29.700,3.4524e+02
-0.0450,0.0150,28.900,3.0658e+02
-0.0450,0.0150,28.700,1.1635e+02
-0.0450,0.0150,28.500,6.5949e+02
-0.0450,0.0150,28.300,1.4121e+03
-0.0450,0.0150,28.100,6.3639e+02
-0.0450,0.0150,27.900,2.0855e+03
-0.0450,0.0150,27.700,7.6814e+03
-0.0450,0.0150,27.500,4.1915e+03
0.0150,-0.0150,50.900,8.8011e+03
0.0050,0.0450,40.100,1.1486e+03
0.0050,0.0450,39.900,7.3600e+02
0.0050,0.0450,39.700,6.2329e+02
0.0050,0.0450,39.500,1.8526e+03
0.0050,0.0450,39.300,6.5653e+02
0.0050,0.0450,39.100,6.1064e+02
0.0050,0.0450,40.700,4.1189e+02
-0.0050,-0.0550,4.100,7.0904e+02
0.0050,0.0450,40.500,6.8171e+02
-0.0050,-0.0550,3.900,9.0270e+02
0.0050,0.0450,40.300,3.8792e+02
-0.0050,-0.0550,3.700,8.8707e+02
-0.0450,-0.0050,1.500,3.2450e+03
0.0450,0.0350,44.500,5.1654e+03
0.0450,0.0350,44.700,3.2709e+03
0.0550,0.0150,13.500,1.4958e+03
-0.0450,0.0150,29.100,6.8006e+03
-0.0450,0.0150,29.300,1.7480e+03
-0.0450,0.0150,29.500,3.7084e+03
-0.0450,0.0050,30.100,5.7115e+03
-0.0450,0.0050,29.900,1.1156e+04
-0.0450,0.0050,29.700,4.5333e+03
-0.0450,0.0050,29.500,1.1805e+04
0.0250,-0.0450,20.500,3.6150e+02
0.0250,-0.0450,20.700,6.2254e+02
0.0350,0.0250,34.500,8.0291e+02
0.0350,0.0250,34.300,5.7592e+02
0.0350,0.0250,34.100,5.8225e+02
0.0350,0.0250,33.900,2.9784e+02
0.0350,0.0250,33.700,1.1596e+03
0.0450,0.0150,27.700,7.2297e+03
0.0450,0.0150,27.900,7.8026e+02
-0.0150,0.0450,29.900,2.9063e+03
-0.0150,0.0450,29.700,1.0300e+03
-0.0150,0.0450,29.500,7.7287e+02
-0.0150,0.0450,29.300,1.3458e+03
-0.0150,0.0450,29.100,8.6745e+02
-0.0150,0.0450,28.900,2.4600e+02
-0.0150,0.0450,28.700,4.4376e+02
-0.0150,0.0450,28.500,1.0585e+03
-0.0150,0.0450,28.300,7.0258e+02
-0.0150,0.0450,28.100,3.0775e+02
-0.0150,0.0450,27.900,5.5265e+02
-0.0250,-0.0450,7.300,4.3189e+03
-0.0250,-0.0450,7.100,6.1651e+03
-0.0150,-0.0450,7.100,6.2241e+03
-0.0150,-0.0450,7.300,3.0734e+03
-0.0150,-0.0450,7.500,2.5785e+03
-0.0150,-0.0450,8.300,1.4058e+03
-0.0150,-0.0450,8.500,1.0429e+03
-0.0150,-0.0450,8.700,1.4738e+03
-0.0150,-0.0450,8.900,1.5330e+03
-0.0150,-0.0450,9.100,4.7259e+03
-0.0150,-0.0450,9.300,1.3348e+04
-0.0450,0.0150,31.300,4.3377e+03
-0.0450,0.0150,31.100,1.1331e+04
-0.0450,0.0150,30.900,2.9955e+03
-0.0450,0.0150,30.700,2.7703e+03
-0.0450,0.0150,30.500,1.4842e+03
-0.0450,0.0150,30.300,2.4089e+03
-0.0450,0.0150,30.100,2.2937e+03
0.0150,-0.0350,40.700,4.0010e+03
0.0150,-0.0350,40.500,8.5638e+03
0.0150,-0.0350,40.300,1.4591e+03
0.0150,-0.0350,40.100,2.1507e+03
0.0150,-0.0350,39.900,3.7651e+03
0.0150,-0.0350,39.700,5.7193e+03
0.0150,-0.0350,38.900,2.1120e+03
-0.0350,0.0350,23.100,2.9614e+03
-0.0350,0.0350,23.300,6.6501e+03
-0.0150,0.0350,41.900,3.2079e+03
-0.0150,0.0350,41.700,3.9734e+02
-0.0150,0.0350,40.900,3.1503e+02
-0.0150,0.0450,1.900,1.3176e+04
-0.0150,0.0450,2.100,5.9380e+03
-0.0150,0.0450,2.300,7.0550e+02
0.0350,-0.0050,43.100,3.7509e+03
0.0350,0.0050,43.300,9.7580e+03
0.0350,0.0050,43.500,1.1668e+03
0.0350,0.0050,43.700,2.4405e+03
0.0350,0.0050,44.100,7.2759e+03
0.0350,0.0050,43.900,4.5198e+03
-0.0350,-0.0050,40.900,5.5475e+03
-0.0350,-0.0050,40.700,1.4061e+04
-0.0150,-0.0450,10.300,7.0356e+03
-0.0150,-0.0450,10.500,1.8643e+04
-0.0150,-0.0450,10.700,1.1858e+04
-0.0150,-0.0450,10.900,5.5412e+03
-0.0150,-0.0450,11.100,6.6828e+03
-0.0050,0.0350,40.900,5.4222e+03
0.0650,-0.0150,9.100,7.3624e+03
0.0650,-0.0150,8.900,1.6229e+02
-0.0150,0.0350,39.900,1.3611e+03
-0.0050,0.0350,40.700,8.4431e+03
0.0350,-0.0050,42.100,7.7113e+02
0.0350,-0.0050,41.900,1.2107e+04
0.0350,-0.0050,41.700,6.3799e+03
0.0350,-0.0050,41.500,1.0637e+04
0.0350,-0.0050,41.300,9.8067e+03
0.0350,-0.0050,41.100,7.6185e+03
0.0350,-0.0050,40.900,8.0894e+03
0.0350,-0.0150,42.100,1.0281e+04
0.0350,-0.0150,40.500,1.5321e+03
0.0350,-0.0150,41.900,3.7730e+03
0.0350,-0.0350,15.300,1.1354e+04
0.0350,-0.0350,15.100,1.5403e+03
-0.1050,0.0550,22.900,1.2567e+02
-0.0150,-0.0450,0.500,2.2273e+02
-0.1050,0.0550,23.100,8.0399e+02
-0.0150,-0.0450,0.700,4.5255e+02
-0.1050,0.0550,23.300,3.9287e+03
-0.0150,-0.0450,0.900,6.8771e+02
-0.1050,0.0550,23.500,9.2147e+03
-0.0150,-0.0450,1.100,1.5827e+03
-0.0150,-0.0450,1.300,3.8507e+03
-0.0450,-0.0250,4.700,1.6685e+03
0.0450,0.0250,20.700,3.3803e+03
0.0450,0.0250,20.500,3.2093e+02
0.0450,0.0150,20.500,8.1196e+03
-0.0450,0.0050,29.300,7.0143e+03
-0.0450,0.0050,2.300,8.5948e+03
-0.0450,0.0050,2.500,2.0894e+04
-0.0450,0.0050,2.700,1.4795e+04
0.0450,-0.0050,29.300,4.9703e+02
0.0450,-0.0050,29.500,5.6002e+02
0.0450,-0.0050,29.700,3.8099e+02
0.0450,-0.0050,29.900,3.4926e+02
0.0450,-0.0050,30.100,1.4545e+02
0.0450,-0.0050,30.300,1.8426e+02
0.0450,-0.0050,30.500,7.5462e+02
0.0450,-0.0050,30.700,3.5608e+02
0.0450,-0.0050,31.300,1.0586e+03
0.0450,-0.0050,31.100,1.7736e+03
0.0450,-0.0050,30.900,1.7622e+03
-0.0450,-0.0050,25.700,4.3399e+03
-0.0250,-0.0150,45.700,2.2571e+04
-0.0250,-0.0450,3.900,8.5688e+02
-0.0250,-0.0450,3.700,1.8126e+03
0.1050,0.0750,107.900,2.8462e+03
0.0550,0.0350,59.100,4.0330e+01
-0.0350,0.0150,42.700,7.0360e+02
-0.0350,0.0150,42.500,1.8561e+03
-0.0350,0.0150,42.300,5.1532e+02
-0.0350,0.0150,42.100,1.2323e+03
-0.0350,0.0150,41.900,4.4035e+02
-0.0350,0.0150,41.700,2.6924e+02
-0.0350,0.0150,41.500,6.4224e+02
-0.0350,0.0150,41.300,4.4515e+02
-0.0350,0.0150,40.100,3.4869e+02
-0.0350,0.0150,39.700,4.7230e+02
-0.0350,0.0250,39.300,4.7874e+03
-0.0350,0.0250,39.100,2.6934e+03
-0.0350,0.0250,38.900,9.8209e+03
-0.0350,0.0350,38.900,5.7945e+01
-0.0350,0.0350,38.700,7.4630e+02
-0.0350,0.0350,38.500,1.0489e+03
-0.0350,0.0350,38.300,2.5386e+02
-0.0350,0.0250,38.300,7.0760e+02
-0.0350,0.0250,38.100,7.5266e+02
-0.0350,0.0250,37.900,7.9267e+02
-0.0350,0.0250,37.700,1.0154e+03
-0.0350,0.0250,37.500,9.8131e+02
-0.0350,0.0250,37.300,1.3172e+03
-0.0350,0.0250,37.100,1.0590e+02
-0.0350,0.0250,36.700,6.5698e+02
-0.0350,0.0250,36.500,7.9119e+02
