source,source_label,thickness_um,nt,available,qc_pass,qc_reason,cce_percent,positive_peak_nA,negative_peak_nA,reverse_peak_ratio,dropped_initial_points
49kev,49 keV,100.0,2.5e13,True,True,,59.61670578325095,1.9645754635091999,3.397907779999999e-05,1.7295888313348504e-05,6
49kev,49 keV,100.0,5e13,True,True,,48.524325088864906,1.6058030980809999,3.6175717e-05,2.2528115086607726e-05,6
49kev,49 keV,110.0,0,True,True,,97.73569642256456,2.5888978291342797,2.394484112e-05,9.249048321079203e-06,6
49kev,49 keV,110.0,1e12,True,True,,97.66257473774948,2.6198057107265402,2.552972016e-05,9.744890644169161e-06,6
49kev,49 keV,110.0,1e13,True,True,,74.78687152883995,2.3364110985282003,3.0172041800000004e-05,1.2913841155354293e-05,6
49kev,49 keV,110.0,2.5e13,True,True,,57.99112614546256,1.9422188369160003,3.3566311e-05,1.7282455695517347e-05,6
49kev,49 keV,110.0,5e13,True,True,,46.90432718928124,1.5836325047986,0.0002175554614,0.00013737749177336308,6
49kev,49 keV,120.0,0,True,True,,97.73484961490429,2.53625186924284,0.00057147576716,0.00022532295553540806,6
49kev,49 keV,120.0,1e12,True,True,,97.60720317643619,2.5739152381053603,2.4492655439999993e-05,9.515719506765441e-06,6
49kev,49 keV,120.0,1e13,True,True,,73.26193140918728,2.30596342934402,3.439899708e-05,1.4917407900864029e-05,6
49kev,49 keV,120.0,2.5e13,True,True,,56.57442433117345,1.9199446194088001,3.3830275199999995e-05,1.7620443245085476e-05,6
49kev,49 keV,120.0,5e13,True,True,,45.536453266001395,1.5623985896563999,3.75427426e-05,2.40289148035242e-05,6
49kev,49 keV,130.0,0,True,True,,97.7414461547735,2.49152169635928,2.251077612e-05,9.034950870744463e-06,6
49kev,49 keV,130.0,1e12,True,True,,97.66645944510726,2.53542067797474,2.3273968959999997e-05,9.179529520359883e-06,6
49kev,49 keV,130.0,1e13,True,True,,72.11870258866644,2.28325715955136,3.548396114e-05,1.5540939395093055e-05,6
49kev,49 keV,130.0,2.5e13,True,True,,55.44335958101318,1.9053162473416,0.0003201954384,0.0001680536965171813,6
49kev,49 keV,130.0,5e13,True,True,,44.41992850734949,1.5486126575761998,3.190695479999999e-05,2.0603573555920005e-05,6
49kev,49 keV,150.0,0,True,True,,97.73592359140353,2.4017384152233197,7.990923768000001e-05,3.327141589337898e-05,6
49kev,49 keV,150.0,1e12,True,True,,97.65751519818978,2.45200688695744,3.070736762e-05,1.2523361081625297e-05,6
49kev,49 keV,150.0,1e13,True,True,,70.2256239130177,2.22729538758,2.9216984e-05,1.3117696091376917e-05,6
49kev,49 keV,150.0,2.5e13,True,True,,53.55486887098491,1.8692742151593997,2.87418216e-05,1.537592578280393e-05,6
49kev,49 keV,150.0,5e13,True,True,,42.56368668956255,1.5190494234814,3.20812266e-05,2.1119277690435735e-05,6
49kev,49 keV,180.0,0,True,True,,97.68537941891192,2.2809725216679797,0.00017290165202,7.580172508766754e-05,6
49kev,49 keV,180.0,1e12,True,True,,97.60134527500324,2.34078580325254,2.7458009799999994e-05,1.1730253046582424e-05,6
49kev,49 keV,180.0,1e13,True,True,,68.52376074348749,2.152575685152,0.0005216547480000001,0.00024233979394929587,6
49kev,49 keV,180.0,2.5e13,True,True,,51.59971196664853,1.8231561659049997,2.5762281e-05,1.4130594779417492e-05,6
49kev,49 keV,180.0,5e13,True,True,,40.61661244606729,1.4864793177138,4.1144325500000005e-05,2.7679043367572602e-05,6
100kev,100 keV,5.0,0,True,True,,11.861304713036269,0.7762092382288001,5.11825552e-05,6.593912141111767e-05,6
100kev,100 keV,5.0,1e12,True,True,,11.86283913736248,0.7760891564282,4.3277564399999995e-05,5.576365040219942e-05,6
100kev,100 keV,5.0,1e13,True,True,,11.861707198185353,0.7749396249838,4.43914473e-05,5.728374942877389e-05,6
100kev,100 keV,5.0,2.5e13,True,True,,11.860021029560727,0.7728502327265999,4.195874590000001e-05,5.429091449189373e-05,6
100kev,100 keV,5.0,5e13,True,True,,11.856924507148904,0.7688359483342,4.1925711e-05,5.453141348403184e-05,6
100kev,100 keV,8.0,0,True,True,,20.8132204238599,1.085295368147,4.7572263400000004e-05,4.3833471326080966e-05,6
100kev,100 keV,8.0,1e12,True,True,,20.81244415536154,1.0844254730086,4.7387675000000005e-05,4.369841559376962e-05,6
100kev,100 keV,8.0,1e13,True,True,,20.80839583892766,1.076383441476,4.6185386949999995e-05,4.290793147715826e-05,6
100kev,100 keV,8.0,2.5e13,True,True,,20.80133253160277,1.0626668324887998,4.5430601069999997e-05,4.275149998198407e-05,6
100kev,100 keV,8.0,5e13,True,True,,20.788687549670318,1.0405331744448,4.4255902459999995e-05,4.253194760812286e-05,6
100kev,100 keV,10.0,0,True,True,,27.345493754803385,1.2685858583974001,4.811474258000001e-05,3.79278566456536e-05,6
100kev,100 keV,10.0,1e12,True,True,,27.34478501074846,1.2671923851994003,4.8120772590000005e-05,3.797432272482281e-05,6
100kev,100 keV,10.0,1e13,True,True,,27.336568542605757,1.2547271599244,4.712279968e-05,3.755621236639147e-05,6
100kev,100 keV,10.0,2.5e13,True,True,,27.32258364337158,1.234837451679,4.5187071529999995e-05,3.659353825765444e-05,6
100kev,100 keV,10.0,5e13,True,True,,27.296058027224205,1.2051572183836,4.2555895740000004e-05,3.531148890024282e-05,6
100kev,100 keV,20.0,0,True,True,,60.72929590978462,2.2422099816513996,4.847261216e-05,2.1618230476478236e-05,6
100kev,100 keV,20.0,1e12,True,True,,60.72311800038369,2.2332233795876,4.806177266e-05,2.1521256269883474e-05,6
100kev,100 keV,20.0,1e13,True,True,,60.66377592303237,2.1367163714726,3.1990348399999995e-05,1.4971733650335923e-05,6
100kev,100 keV,20.0,2.5e13,True,True,,60.476908073500354,1.9573331476376,2.7838285399999993e-05,1.4222558604088103e-05,6
100kev,100 keV,20.0,5e13,True,True,,58.7516388307122,1.68651013725868,2.3840445719999997e-05,1.4135963486558815e-05,6
100kev,100 keV,30.0,0,True,True,,85.74277072515552,3.0683867778305998,3.848799839999999e-05,1.2543398595665844e-05,6
