source,source_label,thickness_um,bias_v,nt,trap_density_cm3,node,q_col_c,q_pos_c,q_neg_c,q_gen_c,cce_percent,cce_pos_percent,cce_neg_percent,positive_peak_nA,negative_peak_nA,reverse_peak_ratio,qc_pass,qc_reason,deposited_energy_ev,generated_pairs,collapsed_thickness_um,raw_points,unique_points,dropped_initial_points
156p5kev,156.5 keV,150.0,117.0,0,0.0,185,2.9920653917110107e-15,2.992116757892944e-15,5.1366181932907024e-20,3.003515223883682e-15,99.61878561221785,99.62049581436783,0.0017102021499490923,5.415536637128601,6.637104429000002e-05,1.2255672657620675e-05,True,,146222.4466961782,18746.467525151053,240.00000000000003,413,407,6
156p5kev,156.5 keV,150.0,117.0,1e12,1000000000000.0,186,2.9903481363704523e-15,2.990391635188305e-15,4.3498817852792984e-20,3.003515223883682e-15,99.56161076166597,99.56305902527079,0.0014482636048219202,5.441878774223199,6.796263074e-05,1.2488817476405714e-05,True,,146222.4466961782,18746.467525151053,240.00000000000003,413,407,6
156p5kev,156.5 keV,130.0,88.0,1e13,10000000000000.0,133,2.173594497243957e-15,2.1735953048690433e-15,8.076250862115419e-22,3.003515223883682e-15,72.36835292059548,72.36837980992436,2.6889328870031356e-05,3.9979981266537727,6.139254008800001e-05,1.5355820123753805e-05,True,,146222.4466961782,18746.467525151053,240.00000000000003,413,407,6
156p5kev,156.5 keV,180.0,169.0,2.5e13,25000000000000.0,198,1.562700872854714e-15,1.5627016528039065e-15,7.799491924511179e-22,3.003515223883682e-15,52.02906449177476,52.029090459653546,2.59678787791396e-05,3.47252746976,5.3727764e-05,1.5472235847773823e-05,True,,146222.4466961782,18746.467525151053,240.00000000000003,413,407,6
156p5kev,156.5 keV,180.0,169.0,5e13,50000000000000.0,199,1.1321133960377102e-15,1.1321140603587927e-15,6.643210825008323e-22,3.003515223883682e-15,37.692946818955555,37.69296893707492,2.211811936953777e-05,2.4549215618228004,4.5839301200000006e-05,1.86724097066319e-05,True,,146222.4466961782,18746.467525151053,240.00000000000003,413,407,6
c14,C-14 spectrum,150.0,117.0,0,0.0,237,9.27490425888027e-16,9.275401378678451e-16,4.971197981815791e-20,9.483852833405917e-16,97.79679653199966,97.80203828139112,0.005241749391455387,2.60861322424616,9.401177683999999e-05,3.603898652594143e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,100.0,52.0,1e12,1000000000000.0,182,9.267971567931446e-16,9.267976482888538e-16,4.914957095539722e-22,9.483852833405917e-16,97.72369658970192,97.7237484141785,5.1824476632822475e-05,2.78951696178004,2.8748007159999996e-05,1.0305729469970811e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,60.0,19.0,1e13,10000000000000.0,191,9.018485587048786e-16,9.01848938413019e-16,3.7970814015811415e-22,9.483852833405917e-16,95.09305706729315,95.0930971046226,4.0037329430147884e-05,2.37335908872438,3.8773318520000004e-05,1.6336895122279905e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,40.0,8.0,2.5e13,25000000000000.0,255,8.263987773589901e-16,8.263991278198201e-16,3.5046082982607602e-22,9.483852833405917e-16,87.13745266565964,87.13748961908313,3.695342346431326e-05,1.8657014062636001,3.43701734e-05,1.8422119040384067e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,30.0,5.0,5e13,50000000000000.0,201,7.75016732881338e-16,7.75017059729772e-16,3.2684843397289236e-22,9.483852833405917e-16,81.71960768427569,81.71964214795199,3.4463676283714744e-05,1.7050072837764,3.2565992599999994e-05,1.9100207318686622e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
