nt,design_source,actual_source,design_thickness_um,actual_optimal_thickness_um,actual_cce_at_design_percent,actual_optimal_cce_percent,cce_loss_percent_point
1e12,156p5kev,100kev,130.0,120.0,99.309865839823,99.34851682206947,0.038650982246466015
1e12,156p5kev,156p5kev,130.0,130.0,99.54666141670057,99.54666141670057,0.0
1e12,156p5kev,c14,130.0,100.0,97.66867803882755,97.72369658970192,0.055018550874365246
1e12,c14,20kev,100.0,110.0,73.80253979779418,74.18568138501807,0.38314158722388925
1e12,c14,49kev,100.0,130.0,97.61828730154764,97.66645944510726,0.048172143559625624
1e12,c14,100kev,100.0,120.0,99.30043566365906,99.34851682206947,0.04808115841041172
1e12,c14,156p5kev,100.0,130.0,98.55113614884499,99.54666141670057,0.9955252678555837
1e12,c14,c14,100.0,100.0,97.72369658970192,97.72369658970192,0.0
1e13,20kev,20kev,10.0,10.0,73.77992120579239,73.77992120579239,0.0
1e13,20kev,49kev,10.0,20.0,91.37209520811263,97.47665494155254,6.104559733439913
1e13,20kev,100kev,10.0,60.0,27.336568542605757,97.39259794781923,70.05602940521347
1e13,20kev,156p5kev,10.0,130.0,10.748265318999389,72.36835292059548,61.6200876015961
1e13,20kev,c14,10.0,60.0,58.12885203363453,95.09305706729315,36.964205033658615
1e13,49kev,20kev,20.0,10.0,73.75071999248162,73.77992120579239,0.029201213310770413
1e13,49kev,49kev,20.0,20.0,97.47665494155254,97.47665494155254,0.0
1e13,49kev,100kev,20.0,60.0,60.66377592303237,97.39259794781923,36.72882202478686
1e13,49kev,156p5kev,20.0,130.0,25.213261121816608,72.36835292059548,47.15509179877888
1e13,49kev,c14,20.0,60.0,80.92559922022929,95.09305706729315,14.167457847063858
1e13,100kev,20kev,60.0,10.0,72.91885724657452,73.77992120579239,0.8610639592178728
1e13,100kev,49kev,60.0,20.0,96.28317271961187,97.47665494155254,1.1934822219406698
1e13,100kev,100kev,60.0,60.0,97.39259794781923,97.39259794781923,0.0
1e13,100kev,156p5kev,60.0,130.0,66.23777011205593,72.36835292059548,6.1305828085395575
1e13,100kev,c14,60.0,60.0,95.09305706729315,95.09305706729315,0.0
1e13,156p5kev,20kev,130.0,10.0,54.52714816326434,73.77992120579239,19.252773042528048
1e13,156p5kev,49kev,130.0,20.0,72.11870258866644,97.47665494155254,25.3579523528861
1e13,156p5kev,100kev,130.0,60.0,73.4587693611827,97.39259794781923,23.933828586636523
1e13,156p5kev,156p5kev,130.0,130.0,72.36835292059548,72.36835292059548,0.0
1e13,156p5kev,c14,130.0,60.0,72.1613569290948,95.09305706729315,22.93170013819835
1e13,c14,20kev,60.0,10.0,72.91885724657452,73.77992120579239,0.8610639592178728
1e13,c14,49kev,60.0,20.0,96.28317271961187,97.47665494155254,1.1934822219406698
1e13,c14,100kev,60.0,60.0,97.39259794781923,97.39259794781923,0.0
1e13,c14,156p5kev,60.0,130.0,66.23777011205593,72.36835292059548,6.1305828085395575
1e13,c14,c14,60.0,60.0,95.09305706729315,95.09305706729315,0.0
5e13,20kev,20kev,10.0,10.0,73.54348782795945,73.54348782795945,0.0
5e13,20kev,49kev,10.0,20.0,91.2248149500786,96.58971456499265,5.3648996149140515
5e13,20kev,100kev,10.0,30.0,27.296058027224205,66.87028042297358,39.57422239574937
5e13,20kev,156p5kev,10.0,130.0,10.731709663323278,34.266503082924885,23.534793419601606
5e13,20kev,c14,10.0,30.0,58.02003690029585,81.71960768427569,23.699570783979837
5e13,49kev,20kev,20.0,10.0,72.90444724309052,73.54348782795945,0.6390405848689369
5e13,49kev,49kev,20.0,20.0,96.58971456499265,96.58971456499265,0.0
5e13,49kev,100kev,20.0,30.0,58.7516388307122,66.87028042297358,8.118641592261376
5e13,49kev,156p5kev,20.0,130.0,24.32646410098375,34.266503082924885,9.940038981941136
5e13,49kev,c14,20.0,30.0,79.43759193635351,81.71960768427569,2.2820157479221734
5e13,100kev,20kev,30.0,10.0,71.32637017982357,73.54348782795945,2.2171176481358827
5e13,100kev,49kev,30.0,20.0,94.42312264282786,96.58971456499265,2.166591922164784
5e13,100kev,100kev,30.0,30.0,66.87028042297358,66.87028042297358,0.0
