x_um,depth_um,optical_generation_cm^-3_s^-1
-95.0,31.7,6785229.700854702
-95.0,31.9,24290651.709401708
-95.0,32.1,18849198.71794872
-95.0,32.3,22187072.649572648
-95.0,32.5,32139350.96153846
-95.0,32.7,27571474.358974352
-95.0,32.9,19575774.57264957
-95.0,33.1,32027644.23076923
-95.0,33.3,49350320.512820505
-95.0,33.5,27721180.55555556
-95.0,33.7,32264690.170940176
-95.0,33.9,26623130.341880344
-95.0,34.1,22518429.487179484
-95.0,34.3,68508627.13675214
-95.0,34.5,29244497.86324786
-95.0,34.7,35090544.87179487
-95.0,34.9,41212686.96581196
-95.0,35.1,28231597.22222222
-95.0,35.3,29691346.15384615
-95.0,35.5,19075133.547008544
-95.0,35.7,19259989.316239316
-95.0,35.9,24044444.444444444
-95.0,36.1,62394375.0
-95.0,36.3,43803525.64102564
-95.0,36.5,22790731.837606832
-95.0,36.7,32672409.188034184
-95.0,36.9,14427323.717948718
-95.0,37.1,43417387.82051282
-95.0,37.3,6898862.17948718
-95.0,37.5,4087927.3504273505
-95.0,37.7,3699145.299145299
-95.0,37.9,1809938.5683760685
-95.0,38.1,9745592.948717948
-95.0,38.3,35112446.581196584
-95.0,38.5,45801282.05128205
-95.0,38.7,15139983.974358974
-95.0,38.9,37956810.897435896
-95.0,39.1,43560523.504273504
-95.0,39.3,41196581.19658119
-95.0,39.5,27297008.547008548
-95.0,39.7,34099893.16239316
-95.0,39.9,33063835.470085472
-95.0,40.1,11601228.632478632
-95.0,40.3,42224652.777777776
-95.0,40.5,41525641.025641024
-95.0,40.7,34294845.08547009
-95.0,40.9,38082825.85470085
-95.0,41.1,15205315.17094017
-95.0,41.3,14241346.153846154
-95.0,41.5,21802136.75213675
-95.0,41.7,15688060.897435898
-95.0,41.9,68833653.84615384
-95.0,42.1,5446180.555555555
-95.0,42.3,1457371.7948717948
-95.0,42.5,2444204.0598290595
-95.0,42.7,2010069.4444444443
-95.0,42.9,20092334.401709404
-95.0,43.1,21892761.752136756
-95.0,43.3,34750186.96581197
-95.0,43.5,23697409.18803419
-95.0,43.7,22716079.05982906
-95.0,43.9,9518776.70940171
-95.0,44.1,10033920.94017094
-95.0,44.3,26306303.41880342
-95.0,44.5,12100881.41025641
-95.0,44.7,13067681.623931624
-95.0,44.9,14107104.700854702
-95.0,45.1,18247329.05982906
-95.0,45.3,19745459.4017094
-95.0,45.5,7957879.273504274
-95.0,45.7,19662927.35042735
-95.0,45.9,29064957.264957264
-95.0,46.1,8925373.931623932
-95.0,46.3,18376068.376068376
-95.0,46.5,12664823.717948718
-95.0,46.7,7511631.944444444
-95.0,46.9,6720112.17948718
-95.0,47.1,10061698.717948718
-95.0,47.3,15410202.991452992
-95.0,47.5,8315518.162393162
-95.0,47.7,5448397.435897435
-95.0,47.9,6705074.786324787
-95.0,48.1,9630822.64957265
-95.0,48.3,8978552.35042735
-95.0,48.5,7026736.111111111
-95.0,48.7,5660657.051282052
-95.0,48.9,11527243.589743588
-95.0,49.1,9315624.999999998
-95.0,49.3,30586057.692307692
-95.0,49.5,24365251.068376068
-95.0,49.7,13803926.282051284
-95.0,49.9,12248023.504273504
-95.0,50.1,21234748.931623932
-95.0,50.3,42856570.51282052
-95.0,50.5,35339396.36752137
-95.0,50.7,18925854.7008547
-95.0,50.9,24541452.991452992
-95.0,51.1,10983173.076923078
-95.0,51.3,35196394.23076923
-95.0,51.5,7233520.299145298
-95.0,51.7,3538514.957264957
-95.0,51.9,3129954.594017094
-95.0,52.1,5633814.102564103
-95.0,52.3,8104086.538461539
-95.0,52.5,13263621.794871794
-95.0,52.7,10853899.572649574
-95.0,52.9,10905555.555555556
-95.0,53.1,41228552.350427344
-95.0,53.3,25304754.273504276
-95.0,53.5,19423878.205128204
-95.0,53.7,9662660.256410256
-95.0,53.9,5389877.136752136
-95.0,54.1,4923183.760683761
-95.0,54.3,20369925.213675212
-95.0,54.5,8197863.247863247
-95.0,54.7,18176201.923076924
-95.0,54.9,12829967.948717948
-95.0,55.1,3482959.4017094015
-95.0,55.3,1152377.1367521368
-95.0,55.5,5438595.085470085
-95.0,55.7,3989075.8547008545
-95.0,55.9,5537152.777777778
-95.0,56.1,5145619.658119658
-95.0,56.3,7811698.717948717
-95.0,56.5,13612446.58119658
-95.0,56.7,6035256.41025641
-95.0,56.9,4756597.222222222
-95.0,57.1,7980849.358974358
-95.0,57.3,7840651.709401709
-95.0,57.5,24520993.589743588
-95.0,57.7,1311271.3675213675
-95.0,57.9,743776.7094017095
-95.0,58.1,3180822.64957265
-95.0,58.3,8496527.777777778
-95.0,58.5,19411324.786324788
-95.0,58.7,6510950.854700854
-95.0,58.9,773557.6923076923
-95.0,59.1,1502964.7435897437
-95.0,59.3,2368295.9401709405
-95.0,59.5,4778579.059829059
-95.0,59.7,1243322.6495726495
-95.0,59.9,19446394.23076923
-95.0,60.1,56846447.649572656
-95.0,60.3,893830.1282051281
-95.0,60.5,560363.2478632479
-95.0,60.7,222243.58974358975
-95.0,60.9,3693376.068376068
-95.0,61.1,7238782.051282051
-95.0,61.3,3651442.3076923075
-95.0,61.5,2935630.3418803415
-95.0,61.7,4513621.794871795
-95.0,61.9,1650347.2222222222
-95.0,62.1,2767628.205128205
-95.0,62.3,2226816.2393162395
-95.0,62.5,2814369.658119658
-95.0,62.7,3267895.299145299
-95.0,62.9,2836805.5555555555
-95.0,63.1,1688034.188034188
-95.0,63.3,2068963.6752136752
-95.0,63.5,2015037.393162393
-95.0,63.7,844978.6324786325
-95.0,63.9,3462606.837606838
-95.0,64.1,2050213.6752136752
-95.0,64.3,26238514.95726496
-95.0,64.5,21928525.641025644
-95.0,64.7,6608440.17094017
-95.0,64.9,21361912.393162396
