source,source_label,thickness_um,bias_v,nt,trap_density_cm3,node,q_col_c,q_pos_c,q_neg_c,q_gen_c,cce_percent,cce_pos_percent,cce_neg_percent,positive_peak_nA,negative_peak_nA,reverse_peak_ratio,qc_pass,qc_reason,deposited_energy_ev,generated_pairs,collapsed_thickness_um,raw_points,unique_points,dropped_initial_points
c14,C-14 spectrum,80.0,33.0,1e12,1000000000000.0,180,9.261371225343744e-16,9.261374340799205e-16,3.1154554591515705e-22,9.483852833405917e-16,97.65410100757254,97.65413385767593,3.285010336914647e-05,2.8133440263556,2.98875694e-05,1.0623503247385033e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,80.0,33.0,1e13,10000000000000.0,193,7.961093408737125e-16,7.961097048476056e-16,3.6397389310878473e-22,9.483852833405917e-16,83.94366243954119,83.94370081781418,3.837827299752304e-05,2.384775164097,3.5138516999999996e-05,1.4734519852862217e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,80.0,33.0,2.5e13,25000000000000.0,259,5.99727595086667e-16,5.997279723652511e-16,3.7727858403731614e-22,9.483852833405917e-16,63.23670407180793,63.236743852959165,3.978115125409689e-05,1.9121852814945999,3.68485814e-05,1.9270403216992893e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,80.0,33.0,5e13,50000000000000.0,206,4.845949473795917e-16,4.845953075324703e-16,3.6015287864949956e-22,9.483852833405917e-16,51.096843855764476,51.09688183114062,3.7975376144692726e-05,1.5161184087625998,3.548927640000001e-05,2.3407984623684538e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,90.0,42.0,0,0.0,62,9.273164436301e-16,9.273167357176156e-16,2.92087515613698e-22,9.483852833405917e-16,97.77845142890884,97.77848222731122,3.079840237343721e-05,2.80071907473748,2.8267530920000003e-05,1.0092954761144547e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,90.0,42.0,1e12,1000000000000.0,181,9.267053506754165e-16,9.26705655317243e-16,3.0464182670152275e-22,9.483852833405917e-16,97.71401633428876,97.71404845644753,3.2122158794836264e-05,2.80541982680924,2.9510404960000002e-05,1.0519069081209078e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,90.0,42.0,1e13,10000000000000.0,194,7.552446417048432e-16,7.552450391650436e-16,3.9746020042431165e-22,9.483852833405917e-16,79.63479136291213,79.63483327206102,4.190914888770712e-05,2.40313980868602,4.6200768979999995e-05,1.9225169011394926e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,90.0,42.0,2.5e13,25000000000000.0,260,5.79715385419131e-16,5.797157629625468e-16,3.7754341579631467e-22,9.483852833405917e-16,61.12656908562962,61.12660889470536,3.9809075744665285e-05,1.9343363814916,3.6904753400000004e-05,1.9078767143666147e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,90.0,42.0,5e13,50000000000000.0,207,4.670919006113063e-16,4.670922667959796e-16,3.6618467331757453e-22,9.483852833405917e-16,49.25128097370112,49.25131958508403,3.8611382921055656e-05,1.5337196355200002,3.622614299999999e-05,2.36197947532423e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,100.0,52.0,0,0.0,63,9.273887407072906e-16,9.273915673475664e-16,2.8266402757456596e-21,9.483852833405917e-16,97.78607460468567,97.78637265235949,0.00029804767380922485,2.77308179155716,2.738373164e-05,9.8748373464395e-06,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,100.0,52.0,1e12,1000000000000.0,182,9.267971567931446e-16,9.267976482888538e-16,4.914957095539722e-22,9.483852833405917e-16,97.72369658970192,97.7237484141785,5.1824476632822475e-05,2.78951696178004,2.8748007159999996e-05,1.0305729469970811e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,100.0,52.0,1e13,10000000000000.0,195,7.283240759949763e-16,7.283244279038386e-16,3.519088622277537e-22,9.483852833405917e-16,76.7962228841772,76.79625999028465,3.710610744487622e-05,2.4120674310524004,3.4350638599999996e-05,1.4241160159031126e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,100.0,52.0,2.5e13,25000000000000.0,261,5.629997477057987e-16,5.630001238461964e-16,3.761403976799925e-22,9.483852833405917e-16,59.3640324871648,59.364072148302974,3.9661138177416224e-05,1.9497113545082,3.63586078e-05,1.864820026612154e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,100.0,52.0,5e13,50000000000000.0,208,4.52300290604578e-16,4.523006589633386e-16,3.683587606138434e-22,9.483852833405917e-16,47.691618432900576,47.69165727352443,3.884062385661836e-05,1.5469741907652002,3.63127088e-05,2.3473377265614345e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,110.0,63.0,0,0.0,64,9.26674312929995e-16,9.266909879426915e-16,1.6675012696816153e-20,9.483852833405917e-16,97.71074364058856,97.71250189358861,0.0017582530000971861,2.74014958621808,3.383236282000001e-05,1.2346903610724043e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,110.0,63.0,1e12,1000000000000.0,183,9.260654220063747e-16,9.260790272236828e-16,1.3605217307874224e-20,9.483852833405917e-16,97.64654073336128,97.64797529983412,0.0014345664728106298,2.76595270461934,3.284185356e-05,1.1873613567271683e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,110.0,63.0,1e13,10000000000000.0,196,7.092955346848572e-16,7.092958830092008e-16,3.483243436573367e-22,9.483852833405917e-16,74.78980822924993,74.78984495739722,3.6728147281071173e-05,2.4119414361126,3.3599793400000004e-05,1.3930600841682882e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,110.0,63.0,2.5e13,25000000000000.0,262,5.482910724123179e-16,5.482914432606857e-16,3.708483676723461e-22,9.483852833405917e-16,57.81311477978842,57.81315388292238,3.910313394637146e-05,1.9583285787906,3.6586375400000004e-05,1.868244981779031e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
