source,source_label,thickness_um,nt,available,qc_pass,qc_reason,cce_percent,positive_peak_nA,negative_peak_nA,reverse_peak_ratio,dropped_initial_points
20kev,20 keV,80.0,1e11,True,True,,73.82523281472946,1.64155052762504,2.2695647459999997e-05,1.3825737970329535e-05,6
20kev,20 keV,80.0,1e12,True,True,,73.78119789374415,1.64936311462478,2.3443130770999998e-05,1.4213444306551726e-05,6
20kev,20 keV,80.0,1e13,True,True,,63.4483622086174,1.46945644072258,2.1670796319999996e-05,1.474749146653422e-05,6
20kev,20 keV,80.0,5e13,True,True,,39.93640047626508,1.0115329683677998,3.84938112e-05,3.8054924954263476e-05,6
20kev,20 keV,90.0,0,True,True,,73.93697351872486,1.6076655267159798,2.2231206470999997e-05,1.3828253515152658e-05,6
20kev,20 keV,90.0,1e11,True,True,,73.93127445669023,1.6090043447578801,2.2689949149999996e-05,1.410185698001601e-05,6
20kev,20 keV,90.0,1e12,True,True,,73.88516597021439,1.62133223409094,2.3555611940000002e-05,1.4528553398685328e-05,6
20kev,20 keV,90.0,1e13,True,True,,60.15980304435067,1.4488903032058997,3.1370994100000004e-05,2.165173859648774e-05,6
20kev,20 keV,90.0,5e13,True,True,,38.138084972619914,0.9929164801452599,2.3640500039999998e-05,2.3809152645488858e-05,6
20kev,20 keV,100.0,0,True,True,,73.85584787185672,1.57317368303666,2.13243322e-05,1.3554976433904071e-05,6
20kev,20 keV,100.0,1e11,True,True,,73.85022989381117,1.5748885312035201,2.187818112e-05,1.3891891830135323e-05,6
20kev,20 keV,100.0,1e12,True,True,,73.80253979779418,1.5919338534293201,2.244164759e-05,1.4097098030584964e-05,6
20kev,20 keV,100.0,1e13,True,True,,57.91700002363406,1.42760538986442,1.9008959679999996e-05,1.331527592635755e-05,6
20kev,20 keV,100.0,5e13,True,True,,36.613142835224096,0.9754604154128799,2.1597162519999994e-05,2.2140480719413544e-05,6
20kev,20 keV,110.0,0,True,True,,74.2408375459078,1.5516436732398802,2.1667204920000003e-05,1.3964033942637233e-05,6
20kev,20 keV,110.0,1e11,True,True,,74.23554849896223,1.5531640143181802,2.084585122e-05,1.3421538889536448e-05,6
20kev,20 keV,110.0,1e12,True,True,,74.18568138501807,1.57380158091448,2.1906896379999998e-05,1.3919732096895391e-05,6
20kev,20 keV,110.0,1e13,True,True,,56.737556148774146,1.41708330425286,1.8582697440000002e-05,1.311334159694832e-05,6
20kev,20 keV,110.0,5e13,True,True,,35.58149132561326,0.966880258373984,0.00020184306601599998,0.00020875704542302093,6
20kev,20 keV,120.0,0,True,True,,73.99819867165816,1.51877104522842,1.99705057e-05,1.3149121958008144e-05,6
20kev,20 keV,120.0,1e11,True,True,,73.99247742455483,1.52059409903348,1.962365825e-05,1.2905257400691737e-05,6
20kev,20 keV,120.0,1e12,True,True,,73.94105366697887,1.5432727624953,2.0402884100000002e-05,1.3220530158914237e-05,6
20kev,20 keV,120.0,1e13,True,True,,55.44515449727264,1.3951294322276,2.1669411e-05,1.5532186834737263e-05,6
20kev,20 keV,120.0,5e13,True,True,,34.4453868569911,0.9519062347700601,1.9554125239999997e-05,2.0542070768896098e-05,6
20kev,20 keV,130.0,0,True,True,,73.95998204950294,1.49265507571326,0.00010096893774,6.764385113670842e-05,6
20kev,20 keV,130.0,1e11,True,True,,73.95371731661992,1.49477278288668,1.8970521270000004e-05,1.2691240760595367e-05,6
20kev,20 keV,130.0,1e12,True,True,,73.90138354029764,1.5199314565678599,1.959228249e-05,1.2890240810096209e-05,6
