x_um,depth_um,optical_generation_cm^-3_s^-1
-5.0,6.1,167974857549.85754
-5.0,6.3,162061217948.71796
-5.0,6.5,156973611111.1111
-5.0,6.7,153618126780.62677
-5.0,6.9,149560398860.39886
-5.0,7.1,142142058404.5584
-5.0,7.3,140319907407.4074
-5.0,7.5,135408084045.58405
-5.0,7.7,128491844729.34473
-5.0,7.9,123574537037.03703
-5.0,8.1,119232123575.49858
-5.0,8.3,115700573361.82336
-5.0,8.5,108614026353.27635
-5.0,8.7,107401873931.62393
-5.0,8.9,99921292841.88034
-5.0,9.1,94158077136.75215
-5.0,9.3,90354865740.74074
-5.0,9.5,82738979344.72934
-5.0,9.7,78780288461.53847
-5.0,9.9,72251513532.76353
-5.0,10.1,67473732193.73219
-5.0,10.3,62527749287.74929
-5.0,10.5,58509301282.051285
-5.0,10.7,54687831196.58119
-5.0,10.9,47820737179.487175
-5.0,11.1,44131111111.11111
-5.0,11.3,39453700142.45014
-5.0,11.5,35354818376.068375
-5.0,11.7,32961282051.28205
-5.0,11.9,29737712606.83761
-5.0,12.1,26848152777.77778
-5.0,12.3,23269916666.666664
-5.0,12.5,21201977920.22792
-5.0,12.7,18872966880.341877
-5.0,12.9,15610233262.108261
-5.0,13.1,13897079772.079771
-5.0,13.3,11764957264.957264
-5.0,13.5,9914173789.17379
-5.0,13.7,7744658119.658119
-5.0,13.9,6828205128.205128
-5.0,14.1,5446047008.5470085
-5.0,14.3,4557656695.156695
-5.0,14.5,3857443019.94302
-5.0,14.7,2922329059.8290596
-5.0,14.9,2356160968.660969
-5.0,15.1,1439814814.8148148
-5.0,15.3,1015990028.4900285
-5.0,15.5,1115562678.062678
-5.0,15.7,693942307.6923077
-5.0,15.9,446798433.04843307
-5.0,16.1,497952279.2022792
-5.0,16.3,398315527.0655271
-5.0,16.5,198130341.8803419
-5.0,16.7,211549145.29914528
-5.0,16.9,60033119.658119656
-5.0,17.1,111214387.46438746
-5.0,17.3,17659188.034188032
-5.0,17.5,20338675.213675216
-5.0,21.3,19819088.319088317
-5.0,21.5,22455128.205128204
-5.0,21.9,25031339.03133903
-5.0,22.5,166737.89173789174
-5.0,23.5,27362179.487179488
-5.0,24.5,2053810.5413105413
-5.0,24.7,7446581.196581196
-5.0,24.9,6825142.45014245
-5.0,25.1,18629273.504273504
-5.0,45.5,118198.00569800568
-5.0,54.1,166844.72934472933
-5.0,101.5,22666452.991452992
-5.0,101.7,1077777.7777777778
-5.0,101.9,2877920.2279202277
-5.0,102.1,2065242.165242165
-5.0,102.3,16919871.794871796
-5.0,102.5,45067663.81766382
5.0,0.1,113523130341.88034
5.0,0.3,102887236467.23647
5.0,0.5,109995249287.74928
5.0,0.7,118570299145.29915
5.0,0.9,124115135327.63533
5.0,1.1,133750000000.0
5.0,1.3,138723397435.89743
5.0,1.5,149487250712.2507
5.0,1.7,153950854700.8547
5.0,1.9,158894444444.44443
5.0,2.1,167079665242.16525
5.0,2.3,170311360398.86038
5.0,2.5,174612108262.10825
5.0,2.7,178848539886.0399
5.0,2.9,178894444444.44443
5.0,3.1,181821367521.36752
5.0,3.3,185755270655.27066
5.0,3.5,185224216524.21652
5.0,3.7,187320227920.2279
5.0,3.9,189162250712.2507
5.0,4.1,188039601139.60114
5.0,4.3,187884615384.6154
5.0,4.5,184528205128.20514
5.0,4.7,186251032763.53278
5.0,4.9,181988105413.1054
5.0,5.1,182316346153.84616
5.0,5.3,179269444444.44443
5.0,5.5,173895156695.1567
5.0,5.7,171658618233.61823
5.0,5.9,167366203703.7037
5.0,6.1,165504878917.3789
5.0,6.3,162392948717.94873
5.0,6.5,159322792022.79202
5.0,6.7,154807158119.6581
5.0,6.9,151177350427.35043
5.0,7.1,148266203703.7037
5.0,7.3,143339636752.13675
5.0,7.5,137460861823.36182
5.0,7.7,133893853276.35327
5.0,7.9,127437165740.74074
5.0,8.1,124490028490.02849
5.0,8.3,118988201566.95157
5.0,8.5,111160861823.36182
5.0,8.7,105756203703.7037
5.0,8.9,100635544871.79488
5.0,9.1,94448336894.5869
5.0,9.3,90749362535.61253
5.0,9.5,86468771367.52136
5.0,9.7,80241716524.21652
5.0,9.9,75171413817.66382
5.0,10.1,69302126068.37607
5.0,10.3,64688725071.22507
5.0,10.5,58061289173.78917
5.0,10.7,54190135327.63533
5.0,10.9,49615373931.62393
5.0,11.1,44617554843.30485
5.0,11.3,41432581908.83191
5.0,11.5,38310968660.96866
5.0,11.7,32738490028.49003
5.0,11.9,29126883903.133904
5.0,12.1,26376416310.54131
5.0,12.3,23588173433.04843
5.0,12.5,20574889458.689457
