# Geant4 3D energy deposition grid (sparse, non-zero cells only)
# NEvents: 100000
# xy_bin_mm: 0.01  z_bin_um: 0.2
x_mm,y_mm,depth_um,edep_eV
-0.0150,0.0050,4.500,2.7281e+05
-0.0050,-0.0150,4.100,3.2731e+05
-0.0050,0.0150,8.900,1.3868e+05
0.0050,-0.0050,8.500,1.5371e+07
0.0750,0.0250,20.500,5.3031e+03
-0.0150,0.0050,4.300,2.3430e+05
-0.0050,-0.0150,3.900,2.9076e+05
-0.0050,0.0150,8.700,1.6900e+05
0.0050,-0.0050,8.300,1.6513e+07
0.0750,0.0250,20.300,2.1091e+03
-0.0150,0.0050,4.100,2.8844e+05
-0.0050,-0.0150,3.700,2.6978e+05
-0.0050,0.0150,8.500,1.2885e+05
0.0050,-0.0050,8.100,1.7224e+07
-0.0150,0.0050,3.900,2.9823e+05
-0.0050,-0.0150,3.500,3.2221e+05
-0.0050,0.0150,8.300,9.7141e+04
0.0050,-0.0050,7.900,1.7943e+07
-0.0150,0.0050,3.700,2.2252e+05
-0.0050,-0.0150,3.300,3.3264e+05
0.0050,-0.0150,6.500,2.3023e+05
-0.0050,0.0050,6.900,2.1068e+07
0.0050,-0.0150,6.300,1.9872e+05
-0.0050,0.0050,6.700,2.1754e+07
0.0050,-0.0150,6.100,1.8401e+05
-0.0350,-0.0350,108.700,8.1296e+02
-0.0050,0.0050,6.500,2.2353e+07
-0.0150,-0.0050,1.900,1.9690e+05
0.0050,-0.0150,5.900,1.7232e+05
-0.0350,-0.0350,108.500,4.8748e+03
-0.0050,0.0050,6.300,2.2853e+07
-0.0150,-0.0050,1.700,2.1841e+05
0.0050,-0.0150,5.700,1.7853e+05
-0.0050,0.0050,6.100,2.3357e+07
-0.0150,-0.0050,1.500,1.8365e+05
0.0050,-0.0150,5.500,2.4314e+05
-0.0050,0.0050,5.900,2.3249e+07
-0.0150,-0.0050,1.300,2.3152e+05
-0.0150,0.0050,26.300,3.5725e+03
0.0050,-0.0150,5.300,3.1103e+05
-0.0050,0.0050,5.700,2.4030e+07
0.0150,-0.0050,9.900,4.9547e+04
0.0050,0.0150,10.300,3.9885e+04
-0.0150,-0.0050,1.100,2.0928e+05
-0.0150,0.0050,26.100,3.4821e+03
0.0050,-0.0150,5.100,3.0964e+05
-0.0050,0.0050,5.500,2.4550e+07
0.0150,-0.0050,9.700,3.4327e+04
0.0050,0.0150,10.100,5.3829e+04
-0.0150,-0.0050,0.900,1.5824e+05
-0.0150,0.0150,1.500,7.5789e+03
-0.0050,-0.0050,1.100,1.8521e+07
